"Variable","LatentClass","Estimate","SE","PValue","Proportion"
"Physical Inactivity","1",0.19,0.124,0.126,2.2
"Sleep Problems","1",0.734,0.127,0,2.2
"Unhealthy Diet","1",0.448,0.124,0,2.2
"Smoking","1",3.208,0.031,0,2.2
"Alcohol","1",1.088,0.2,0,2.2
"Physical Inactivity","2",0.081,0.085,0.345,3.5
"Sleep Problems","2",0.444,0.091,0,3.5
"Unhealthy Diet","2",0.15,0.087,0.084,3.5
"Smoking","2",0.461,0.025,0,3.5
"Alcohol","2",0.614,0.09,0,3.5
"Physical Inactivity","3",-0.025,0.016,0.132,92.9
"Sleep Problems","3",0.154,0.017,0,92.9
"Unhealthy Diet","3",-0.198,0.016,0,92.9
"Smoking","3",-0.38,0,0,92.9
"Alcohol","3",-0.442,0.008,0,92.9
"Physical Inactivity","4",0.635,0.133,0,1.4
"Sleep Problems","4",0.563,0.163,0.001,1.4
"Unhealthy Diet","4",0.176,0.146,0.227,1.4
"Smoking","4",1.816,0.042,0,1.4
"Alcohol","4",0.928,0.212,0,1.4
