"Variable","LatentClass","Estimate","SE","PValue","Proportion"
"Physical Inactivity","1",0.143,0.209,0.494,2.8
"Sleep Problems","1",0.329,0.135,0.015,2.8
"Unhealthy Diet","1",0.481,0.107,0,2.8
"Smoking","1",2.448,0.674,0,2.8
"Alcohol","1",6.734,0.282,0,2.8
"Physical Inactivity","2",-0.053,0.035,0.131,20.5
"Sleep Problems","2",1.823,0.023,0,20.5
"Unhealthy Diet","2",0.139,0.037,0,20.5
"Smoking","2",-0.001,0.04,0.99,20.5
"Alcohol","2",-0.115,0.016,0,20.5
"Physical Inactivity","3",0.009,0.018,0.623,76.7
"Sleep Problems","3",-0.5,0.007,0,76.7
"Unhealthy Diet","3",-0.055,0.018,0.002,76.7
"Smoking","3",-0.058,0.015,0,76.7
"Alcohol","3",-0.124,0.008,0,76.7
