"Variable","LatentClass","Estimate","SE","PValue","Proportion"
"Physical Inactivity","1",-0.118,0.018,0,67.4
"Sleep Problems","1",-0.53,0.01,0,67.4
"Unhealthy Diet","1",-0.113,0.018,0,67.4
"Smoking","1",-0.312,0,0,67.4
"Alcohol","1",-0.245,0.016,0,67.4
"Physical Inactivity","2",-0.042,0.067,0.534,4.6
"Sleep Problems","2",0.293,0.075,0,4.6
"Unhealthy Diet","2",0.198,0.069,0.004,4.6
"Smoking","2",1.668,0.049,0,4.6
"Alcohol","2",1.018,0.072,0,4.6
"Physical Inactivity","3",0.19,0.095,0.046,3.2
"Sleep Problems","3",0.439,0.1,0,3.2
"Unhealthy Diet","3",0.624,0.094,0,3.2
"Smoking","3",4.029,0,0,3.2
"Alcohol","3",1.26,0.098,0,3.2
"Physical Inactivity","4",0.022,0.032,0.48,24.8
"Sleep Problems","4",1.495,0.021,0,24.8
"Unhealthy Diet","4",-0.038,0.031,0.228,24.8
"Smoking","4",-0.312,0,0,24.8
"Alcohol","4",-0.191,0.027,0,24.8
