"Variable","LatentClass","Estimate","SE","PValue","Proportion"
"Physical Inactivity","1",0.029,0.021,0.175,58
"Sleep Problems","1",-0.685,0.011,0,58
"Unhealthy Diet","1",-0.166,0.02,0,58
"Smoking","1",-0.285,0,0,58
"Alcohol","1",-0.12,0.019,0,58
"Physical Inactivity","2",0.057,0.03,0.058,31.4
"Sleep Problems","2",1.128,0.016,0,31.4
"Unhealthy Diet","2",-0.071,0.029,0.016,31.4
"Smoking","2",-0.285,0,0,31.4
"Alcohol","2",0.006,0.028,0.845,31.4
"Physical Inactivity","3",0.378,0.075,0,4.8
"Sleep Problems","3",0.35,0.078,0,4.8
"Unhealthy Diet","3",0.316,0.076,0,4.8
"Smoking","3",4.271,0,0,4.8
"Alcohol","3",1.304,0.105,0,4.8
"Physical Inactivity","4",0.188,0.063,0.003,5.9
"Sleep Problems","4",0.227,0.069,0.001,5.9
"Unhealthy Diet","4",0.143,0.066,0.029,5.9
"Smoking","4",1.919,0.049,0,5.9
"Alcohol","4",0.947,0.079,0,5.9
