"Variable","LatentClass","Estimate","SE","PValue","Proportion"
"Physical Inactivity","1",0.112,0.072,0.118,4.1
"Sleep Problems","1",0.235,0.084,0.005,4.1
"Unhealthy Diet","1",0.095,0.064,0.139,4.1
"Smoking","1",0.38,0.019,0,4.1
"Alcohol","1",0.022,0.062,0.721,4.1
"Physical Inactivity","2",0.087,0.099,0.379,1.9
"Sleep Problems","2",0.153,0.111,0.171,1.9
"Unhealthy Diet","2",0.259,0.113,0.021,1.9
"Smoking","2",1.762,0.03,0,1.9
"Alcohol","2",0.124,0.095,0.194,1.9
"Physical Inactivity","3",-0.088,0.015,0,87.6
"Sleep Problems","3",0.023,0.016,0.146,87.6
"Unhealthy Diet","3",-0.265,0.015,0,87.6
"Smoking","3",-0.377,0,0,87.6
"Alcohol","3",-0.617,0.007,0,87.6
"Physical Inactivity","4",0.216,0.061,0,6.3
"Sleep Problems","4",0.415,0.074,0,6.3
"Unhealthy Diet","4",0.286,0.06,0,6.3
"Smoking","4",3.04,0.015,0,6.3
"Alcohol","4",0.576,0.068,0,6.3
