"Variable","LatentClass","Estimate","SE","PValue","Proportion"
"Physical Inactivity","1",0.009,0.052,0.856,8.6
"Sleep Problems","1",0.227,0.054,0,8.6
"Unhealthy Diet","1",0.31,0.048,0,8.6
"Smoking","1",1.593,0.034,0,8.6
"Alcohol","1",1.226,0.05,0,8.6
"Physical Inactivity","2",0.214,0.055,0,8.4
"Sleep Problems","2",0.358,0.056,0,8.4
"Unhealthy Diet","2",0.569,0.051,0,8.4
"Smoking","2",3.623,0,0,8.4
"Alcohol","2",1.592,0.053,0,8.4
"Physical Inactivity","3",-0.063,0.02,0.001,62.4
"Sleep Problems","3",-0.474,0.012,0,62.4
"Unhealthy Diet","3",0.01,0.019,0.601,62.4
"Smoking","3",-0.343,0,0,62.4
"Alcohol","3",0.145,0.02,0,62.4
"Physical Inactivity","4",0.032,0.037,0.394,20.7
"Sleep Problems","4",1.382,0.022,0,20.7
"Unhealthy Diet","4",0.149,0.035,0,20.7
"Smoking","4",-0.343,0,0,20.7
"Alcohol","4",0.382,0.042,0,20.7
