"Variable","LatentClass","Estimate","SE","PValue","Proportion"
"Physical Inactivity","1",-0.309,0.014,0,89.8
"Sleep Problems","1",-0.088,0.014,0,89.8
"Unhealthy Diet","1",0.026,0.014,0.055,89.8
"Smoking","1",-0.289,0,0,89.8
"Alcohol","1",-0.119,0.012,0,89.8
"Physical Inactivity","2",-0.22,0.059,0,4.6
"Sleep Problems","2",0.208,0.065,0.002,4.6
"Unhealthy Diet","2",0.449,0.067,0,4.6
"Smoking","2",1.309,0,0,4.6
"Alcohol","2",1.385,0.063,0,4.6
"Physical Inactivity","3",-0.088,0.059,0.14,5.6
"Sleep Problems","3",0.372,0.062,0,5.6
"Unhealthy Diet","3",0.611,0.062,0,5.6
"Smoking","3",3.96,0.043,0,5.6
"Alcohol","3",1.72,0.055,0,5.6
