"Variable","LatentClass","Estimate","SE","PValue","Proportion"
"Physical Inactivity","1",0.391,0.073,0,5.2
"Sleep Problems","1",0.248,0.072,0.001,5.2
"Unhealthy Diet","1",0.611,0.067,0,5.2
"Smoking","1",4.059,0,0,5.2
"Alcohol","1",1.362,0.062,0,5.2
"Physical Inactivity","2",-0.032,0.015,0.032,88.1
"Sleep Problems","2",-0.12,0.015,0,88.1
"Unhealthy Diet","2",-0.174,0.015,0,88.1
"Smoking","2",-0.305,0,0,88.1
"Alcohol","2",0.114,0.014,0,88.1
"Physical Inactivity","3",0.152,0.057,0.007,6.7
"Sleep Problems","3",0.231,0.061,0,6.7
"Unhealthy Diet","3",0.12,0.055,0.029,6.7
"Smoking","3",1.703,0.04,0,6.7
"Alcohol","3",1.194,0.051,0,6.7
