"Variable","LatentClass","Estimate","SE","PValue","Proportion"
"Physical Inactivity","1",0.276,0.037,0,4.4
"Sleep Problems","1",0.299,0.035,0,4.4
"Unhealthy Diet","1",0.709,0.032,0,4.4
"Smoking","1",4.051,0.002,0,4.4
"Alcohol","1",1.341,0.032,0,4.4
"Physical Inactivity","2",-0.024,0.007,0.001,90.1
"Sleep Problems","2",-0.031,0.007,0,90.1
"Unhealthy Diet","2",-0.054,0.007,0,90.1
"Smoking","2",-0.303,0,0,90.1
"Alcohol","2",-0.135,0.006,0,90.1
"Physical Inactivity","3",0.167,0.03,0,5.5
"Sleep Problems","3",0.266,0.03,0,5.5
"Unhealthy Diet","3",0.317,0.029,0,5.5
"Smoking","3",1.742,0.02,0,5.5
"Alcohol","3",1.133,0.027,0,5.5
