"Variable","LatentClass","Estimate","SE","PValue","Proportion"
"Physical Inactivity","1",0.05,0.07,0.474,4.8
"Sleep Problems","1",0.639,0.078,0,4.8
"Unhealthy Diet","1",-0.059,0.073,0.418,4.8
"Smoking","1",0.513,0.02,0,4.8
"Alcohol","1",0.03,0.049,0.543,4.8
"Physical Inactivity","2",-0.1,0.015,0,90.8
"Sleep Problems","2",0.137,0.016,0,90.8
"Unhealthy Diet","2",-0.358,0.015,0,90.8
"Smoking","2",-0.345,0,0,90.8
"Alcohol","2",-0.608,0.006,0,90.8
"Physical Inactivity","3",0.273,0.107,0.01,2.1
"Sleep Problems","3",0.628,0.126,0,2.1
"Unhealthy Diet","3",0.474,0.106,0,2.1
"Smoking","3",3.366,0.034,0,2.1
"Alcohol","3",0.668,0.115,0,2.1
"Physical Inactivity","4",0.277,0.103,0.007,2.4
"Sleep Problems","4",0.501,0.112,0,2.4
"Unhealthy Diet","4",-0.305,0.097,0.002,2.4
"Smoking","4",1.966,0.033,0,2.4
"Alcohol","4",0.936,0.119,0,2.4
