"Variable","LatentClass","Estimate","SE","PValue","Proportion"
"Physical Inactivity","1",0.533,0.137,0,2.7
"Sleep Problems","1",1.029,0.137,0,2.7
"Unhealthy Diet","1",0.999,0.151,0,2.7
"Smoking","1",3.347,0.032,0,2.7
"Alcohol","1",0.763,0.191,0,2.7
"Physical Inactivity","2",-0.191,0.018,0,91
"Sleep Problems","2",0.082,0.019,0,91
"Unhealthy Diet","2",-0.191,0.019,0,91
"Smoking","2",-0.352,0,0,91
"Alcohol","2",-0.463,0.014,0,91
"Physical Inactivity","3",0.285,0.141,0.044,1.7
"Sleep Problems","3",0.49,0.164,0.003,1.7
"Unhealthy Diet","3",0.693,0.127,0,1.7
"Smoking","3",1.882,0.044,0,1.7
"Alcohol","3",0.634,0.187,0.001,1.7
"Physical Inactivity","4",0.161,0.087,0.063,4.6
"Sleep Problems","4",0.579,0.089,0,4.6
"Unhealthy Diet","4",0.427,0.093,0,4.6
"Smoking","4",0.452,0.023,0,4.6
"Alcohol","4",0.218,0.086,0.011,4.6
