"Variable","LatentClass","Estimate","SE","PValue","Proportion"
"Physical Inactivity","1",0.205,0.029,0,4.6
"Sleep Problems","1",0.309,0.03,0,4.6
"Unhealthy Diet","1",0.308,0.029,0,4.6
"Smoking","1",0.886,0.005,0,4.6
"Alcohol","1",0.827,0.03,0,4.6
"Physical Inactivity","2",0.298,0.036,0,2.7
"Sleep Problems","2",0.27,0.04,0,2.7
"Unhealthy Diet","2",0.43,0.036,0,2.7
"Smoking","2",2.209,0.005,0,2.7
"Alcohol","2",1.139,0.039,0,2.7
"Physical Inactivity","3",-0.054,0.007,0,86.8
"Sleep Problems","3",-0.048,0.006,0,86.8
"Unhealthy Diet","3",-0.074,0.006,0,86.8
"Smoking","3",-0.352,0,0,86.8
"Alcohol","3",-0.237,0.006,0,86.8
"Physical Inactivity","4",0.5,0.027,0,5.8
"Sleep Problems","4",0.348,0.029,0,5.8
"Unhealthy Diet","4",0.65,0.026,0,5.8
"Smoking","4",3.521,0.002,0,5.8
"Alcohol","4",1.54,0.028,0,5.8
