"Variable","LatentClass","Estimate","SE","PValue","Proportion"
"Physical Inactivity","1",0.1,0.051,0.049,7.8
"Sleep Problems","1",0.327,0.049,0,7.8
"Unhealthy Diet","1",0.387,0.048,0,7.8
"Smoking","1",3.2,0.033,0,7.8
"Alcohol","1",1.268,0.057,0,7.8
"Physical Inactivity","2",-0.037,0.066,0.578,4.6
"Sleep Problems","2",0.361,0.061,0,4.6
"Unhealthy Diet","2",0.333,0.061,0,4.6
"Smoking","2",1.057,0.001,0,4.6
"Alcohol","2",0.679,0.065,0,4.6
"Physical Inactivity","3",-0.097,0.015,0,87.6
"Sleep Problems","3",0.074,0.014,0,87.6
"Unhealthy Diet","3",-0.058,0.014,0,87.6
"Smoking","3",-0.33,0,0,87.6
"Alcohol","3",-0.178,0.012,0,87.6
