"Variable","LatentClass","Estimate","SE","PValue","Proportion"
"Physical Inactivity","1",0.287,0.081,0,3.9
"Sleep Problems","1",0.471,0.08,0,3.9
"Undietary Behavior","1",-0.005,0.073,0.946,3.9
"Smoking","1",0.464,0.022,0,3.9
"Alcohol","1",0.576,0.071,0,3.9
"Physical Inactivity","2",0.292,0.128,0.022,1.3
"Sleep Problems","2",0.57,0.155,0,1.3
"Undietary Behavior","2",0.131,0.139,0.344,1.3
"Smoking","2",1.919,0.044,0,1.3
"Alcohol","2",1.136,0.147,0,1.3
"Physical Inactivity","3",0.034,0.016,0.031,93
"Sleep Problems","3",0.158,0.016,0,93
"Undietary Behavior","3",-0.159,0.015,0,93
"Smoking","3",-0.344,0,0,93
"Alcohol","3",-0.428,0.008,0,93
"Physical Inactivity","4",0.435,0.123,0,1.8
"Sleep Problems","4",0.975,0.127,0,1.8
"Undietary Behavior","4",0.394,0.127,0.002,1.8
"Smoking","4",3.32,0.035,0,1.8
"Alcohol","4",0.986,0.151,0,1.8
