"Variable","LatentClass","Estimate","SE","PValue","Proportion"
"Physical Inactivity","1",0.109,0.106,0.305,2.5
"Sleep Problems","1",0.545,0.128,0,2.5
"Unhealthy Diet","1",0.273,0.098,0.005,2.5
"Smoking","1",1.956,0.065,0,2.5
"Alcohol","1",0.487,0.116,0,2.5
"Physical Inactivity","2",-0.134,0.016,0,94.7
"Sleep Problems","2",0.15,0.018,0,94.7
"Unhealthy Diet","2",-0.106,0.015,0,94.7
"Smoking","2",-0.255,0.002,0,94.7
"Alcohol","2",-0.571,0.009,0,94.7
"Physical Inactivity","3",0.219,0.114,0.054,2.8
"Sleep Problems","3",0.577,0.121,0,2.8
"Unhealthy Diet","3",0.745,0.119,0,2.8
"Smoking","3",4.148,0.03,0,2.8
"Alcohol","3",0.936,0.126,0,2.8
