"Variable","LatentClass","Estimate","SE","PValue","Proportion"
"Physical Inactivity","1",0.171,0.074,0.022,14.3
"Sleep Problems","1",0.04,0.075,0.595,14.3
"Unhealthy Diet","1",0.606,0.063,0,14.3
"Smoking","1",1.81,0,0,14.3
"Alcohol","1",0.876,0.084,0,14.3
"Physical Inactivity","2",-0.105,0.097,0.278,9
"Sleep Problems","2",-0.058,0.097,0.55,9
"Unhealthy Diet","2",0.309,0.096,0.001,9
"Smoking","2",0.742,0.035,0,9
"Alcohol","2",0.742,0.12,0,9
"Physical Inactivity","3",-0.195,0.031,0,76.8
"Sleep Problems","3",-0.277,0.028,0,76.8
"Unhealthy Diet","3",0.138,0.03,0,76.8
"Smoking","3",-0.619,0,0,76.8
"Alcohol","3",-0.107,0.027,0,76.8
