"Variable","LatentClass","Estimate","SE","PValue","Proportion"
"Physical Inactivity","1",0.054,0.077,0.482,5.6
"Sleep Problems","1",0.419,0.08,0,5.6
"Unhealthy Diet","1",0.598,0.075,0,5.6
"Smoking","1",3.263,0.003,0,5.6
"Alcohol","1",1.382,0.081,0,5.6
"Physical Inactivity","2",-0.132,0.065,0.043,7.7
"Sleep Problems","2",0.228,0.069,0.001,7.7
"Unhealthy Diet","2",0.219,0.065,0.001,7.7
"Smoking","2",-0.378,0,0,7.7
"Alcohol","2",2.122,0.073,0,7.7
"Physical Inactivity","3",-0.153,0.018,0,81
"Sleep Problems","3",-0.029,0.018,0.109,81
"Unhealthy Diet","3",-0.145,0.018,0,81
"Smoking","3",-0.378,0,0,81
"Alcohol","3",-0.317,0.014,0,81
"Physical Inactivity","4",0.064,0.074,0.383,5.6
"Sleep Problems","4",0.352,0.072,0,5.6
"Unhealthy Diet","4",0.193,0.064,0.002,5.6
"Smoking","4",1.347,0.04,0,5.6
"Alcohol","4",1.09,0.073,0,5.6
