"Variable","LatentClass","Estimate","SE","PValue","Proportion"
"Physical Inactivity","1",0.194,0.166,0.243,0.8
"Sleep Problems","1",0.514,0.155,0.001,0.8
"Unhealthy Diet","1",0.448,0.154,0.004,0.8
"Smoking","1",6.344,0.05,0,0.8
"Alcohol","1",3.189,0.364,0,0.8
"Physical Inactivity","2",-0.093,0.012,0,98
"Sleep Problems","2",0.003,0.012,0.835,98
"Unhealthy Diet","2",-0.247,0.012,0,98
"Smoking","2",-0.187,0.001,0,98
"Alcohol","2",-0.279,0.005,0,98
"Physical Inactivity","3",0.576,0.115,0,1.2
"Sleep Problems","3",0.554,0.125,0,1.2
"Unhealthy Diet","3",0.357,0.112,0.001,1.2
"Smoking","3",3.144,0.103,0,1.2
"Alcohol","3",1.665,0.179,0,1.2
