"Variable","LatentClass","Estimate","SE","PValue","Proportion"
"Physical Inactivity","1",0.698,0.038,0,2.6
"Sleep Problems","1",0.523,0.037,0,2.6
"Unhealthy Diet","1",0.978,0.04,0,2.6
"Smoking","1",5.802,0.033,0,2.6
"Alcohol","1",3.182,0.06,0,2.6
"Physical Inactivity","2",-0.028,0.005,0,95.4
"Sleep Problems","2",-0.023,0.005,0,95.4
"Unhealthy Diet","2",-0.039,0.005,0,95.4
"Smoking","2",-0.196,0,0,95.4
"Alcohol","2",-0.126,0.004,0,95.4
"Physical Inactivity","3",0.447,0.039,0,2
"Sleep Problems","3",0.406,0.04,0,2
"Unhealthy Diet","3",0.594,0.04,0,2
"Smoking","3",2.05,0.01,0,2
"Alcohol","3",1.955,0.059,0,2
