"Variable","LatentClass","Estimate","SE","PValue","Proportion"
"Physical Inactivity","1",0.317,0.039,0,4.4
"Sleep Problems","1",0.364,0.039,0,4.4
"Unhealthy Diet","1",0.736,0.035,0,4.4
"Smoking","1",4.154,0.003,0,4.4
"Alcohol","1",1.82,0.051,0,4.4
"Physical Inactivity","2",-0.029,0.007,0,91.2
"Sleep Problems","2",-0.027,0.007,0,91.2
"Unhealthy Diet","2",-0.058,0.007,0,91.2
"Smoking","2",-0.286,0,0,91.2
"Alcohol","2",-0.146,0.006,0,91.2
"Physical Inactivity","3",0.293,0.038,0,4.3
"Sleep Problems","3",0.188,0.036,0,4.3
"Unhealthy Diet","3",0.473,0.034,0,4.3
"Smoking","3",1.809,0.024,0,4.3
"Alcohol","3",1.271,0.043,0,4.3
