"Variable","LatentClass","Estimate","SE","PValue","Proportion"
"Physical Inactivity","1",0.232,0.08,0.004,2.7
"Sleep Problems","1",0.577,0.085,0,2.7
"Unhealthy Diet","1",0.269,0.124,0.03,2.7
"Smoking","1",0.737,0.028,0,2.7
"Alcohol","1",0.023,0.085,0.786,2.7
"Physical Inactivity","2",0.066,0.011,0,94.9
"Sleep Problems","2",0.044,0.012,0,94.9
"Unhealthy Diet","2",-0.235,0.015,0,94.9
"Smoking","2",-0.292,0,0,94.9
"Alcohol","2",-0.46,0.004,0,94.9
"Physical Inactivity","3",0.112,0.1,0.261,1.7
"Sleep Problems","3",0.528,0.099,0,1.7
"Unhealthy Diet","3",0.103,0.116,0.377,1.7
"Smoking","3",4.273,0.024,0,1.7
"Alcohol","3",1.078,0.141,0,1.7
"Physical Inactivity","4",-0.082,0.15,0.584,0.6
"Sleep Problems","4",0.52,0.177,0.003,0.6
"Unhealthy Diet","4",0.262,0.164,0.109,0.6
"Smoking","4",2.282,0.055,0,0.6
"Alcohol","4",0.304,0.176,0.085,0.6
