"Variable","LatentClass","Estimate","SE","PValue","Proportion"
"Physical Inactivity","1",0.058,0.032,0.065,4.7
"Sleep Problems","1",0.147,0.034,0,4.7
"Undietary Behavior","1",0.078,0.032,0.014,4.7
"Smoking","1",0.868,0.008,0,4.7
"Alcohol","1",0.676,0.035,0,4.7
"Physical Inactivity","2",-0.022,0.007,0.003,86.7
"Sleep Problems","2",-0.033,0.007,0,86.7
"Undietary Behavior","2",-0.032,0.007,0,86.7
"Smoking","2",-0.353,0,0,86.7
"Alcohol","2",-0.148,0.007,0,86.7
"Physical Inactivity","3",0.043,0.04,0.288,3.4
"Sleep Problems","3",0.182,0.039,0,3.4
"Undietary Behavior","3",0.235,0.036,0,3.4
"Smoking","3",2.263,0.005,0,3.4
"Alcohol","3",0.938,0.04,0,3.4
"Physical Inactivity","4",0.279,0.032,0,5.2
"Sleep Problems","4",0.293,0.034,0,5.2
"Undietary Behavior","4",0.3,0.032,0,5.2
"Smoking","4",3.594,0.004,0,5.2
"Alcohol","4",1.216,0.033,0,5.2
