"Variable","LatentClass","Estimate","SE","PValue","Proportion"
"Physical Inactivity","1",0.015,0.057,0.797,8.6
"Sleep Problems","1",0.051,0.055,0.352,8.6
"Unhealthy Diet","1",0.654,0.053,0,8.6
"Smoking","1",3.443,0,0,8.6
"Alcohol","1",1.795,0.061,0,8.6
"Physical Inactivity","2",-0.141,0.019,0,68.7
"Sleep Problems","2",-0.564,0.009,0,68.7
"Unhealthy Diet","2",0.14,0.018,0,68.7
"Smoking","2",-0.368,0,0,68.7
"Alcohol","2",0.057,0.017,0.001,68.7
"Physical Inactivity","3",-0.016,0.048,0.747,12.6
"Sleep Problems","3",1.496,0.027,0,12.6
"Unhealthy Diet","3",0.306,0.046,0,12.6
"Smoking","3",-0.368,0,0,12.6
"Alcohol","3",0.376,0.052,0,12.6
"Physical Inactivity","4",-0.073,0.049,0.138,10
"Sleep Problems","4",0.041,0.05,0.41,10
"Unhealthy Diet","4",0.427,0.044,0,10
"Smoking","4",1.404,0.03,0,10
"Alcohol","4",1.082,0.051,0,10
