"Variable","LatentClass","Estimate","SE","PValue","Proportion"
"Physical Inactivity","1",0.115,0.03,0,6
"Sleep Problems","1",0.216,0.03,0,6
"Unhealthy Diet","1",0.511,0.03,0,6
"Smoking","1",3.423,0.003,0,6
"Alcohol","1",1.557,0.035,0,6
"Physical Inactivity","2",0.025,0.03,0.402,5.2
"Sleep Problems","2",0.213,0.032,0,5.2
"Unhealthy Diet","2",0.288,0.03,0,5.2
"Smoking","2",0.807,0.007,0,5.2
"Alcohol","2",0.726,0.03,0,5.2
"Physical Inactivity","3",-0.012,0.007,0.096,85.6
"Sleep Problems","3",-0.036,0.007,0,85.6
"Unhealthy Diet","3",-0.065,0.007,0,85.6
"Smoking","3",-0.368,0,0,85.6
"Alcohol","3",-0.193,0.006,0,85.6
"Physical Inactivity","4",0.069,0.039,0.078,3.2
"Sleep Problems","4",0.203,0.042,0,3.2
"Unhealthy Diet","4",0.311,0.038,0,3.2
"Smoking","4",2.138,0.005,0,3.2
"Alcohol","4",1.075,0.045,0,3.2
