"Variable","LatentClass","Estimate","SE","PValue","Proportion"
"Physical Inactivity","1",0.143,0.05,0.004,7.6
"Sleep Problems","1",0.251,0.052,0,7.6
"Unhealthy Diet","1",0.403,0.046,0,7.6
"Smoking","1",1.187,0.027,0,7.6
"Alcohol","1",0.782,0.052,0,7.6
"Physical Inactivity","2",0.096,0.052,0.062,7.3
"Sleep Problems","2",0.309,0.056,0,7.3
"Unhealthy Diet","2",0.663,0.047,0,7.3
"Smoking","2",3.085,0,0,7.3
"Alcohol","2",1.226,0.063,0,7.3
"Physical Inactivity","3",0.143,0.036,0,17.1
"Sleep Problems","3",1.693,0.022,0,17.1
"Unhealthy Diet","3",0.277,0.036,0,17.1
"Smoking","3",-0.405,0,0,17.1
"Alcohol","3",-0.002,0.034,0.944,17.1
"Physical Inactivity","4",0.022,0.017,0.184,68
"Sleep Problems","4",-0.442,0.008,0,68
"Unhealthy Diet","4",0.11,0.016,0,68
"Smoking","4",-0.405,0,0,68
"Alcohol","4",-0.2,0.013,0,68
