"Variable","LatentClass","Estimate","SE","PValue","Proportion"
"Physical Inactivity","1",-0.001,0.1,0.989,4.5
"Sleep Problems","1",0.197,0.098,0.044,4.5
"Unhealthy Diet","1",-0.004,0.084,0.964,4.5
"Smoking","1",-0.332,0,0,4.5
"Alcohol","1",2.81,0.262,0,4.5
"Physical Inactivity","2",-0.147,0.02,0,84.2
"Sleep Problems","2",0.017,0.02,0.39,84.2
"Unhealthy Diet","2",-0.08,0.019,0,84.2
"Smoking","2",-0.332,0,0,84.2
"Alcohol","2",-0.328,0.022,0,84.2
"Physical Inactivity","3",0.054,0.078,0.487,6.2
"Sleep Problems","3",0.446,0.08,0,6.2
"Unhealthy Diet","3",0.339,0.077,0,6.2
"Smoking","3",3.632,0,0,6.2
"Alcohol","3",1.326,0.099,0,6.2
"Physical Inactivity","4",0.021,0.073,0.768,5.2
"Sleep Problems","4",0.356,0.085,0,5.2
"Unhealthy Diet","4",0.251,0.075,0.001,5.2
"Smoking","4",1.491,0.049,0,5.2
"Alcohol","4",0.775,0.088,0,5.2
