"Variable","LatentClass","Estimate","SE","PValue","Proportion"
"Physical Inactivity","1",0.083,0.093,0.369,7.1
"Sleep Problems","1",-0.262,0.071,0,7.1
"Unhealthy Diet","1",0.431,0.094,0,7.1
"Smoking","1",1.299,0,0,7.1
"Alcohol","1",1.337,0.08,0,7.1
"Physical Inactivity","2",0.203,0.077,0.009,10.3
"Sleep Problems","2",-0.166,0.067,0.013,10.3
"Unhealthy Diet","2",0.499,0.078,0,10.3
"Smoking","2",3.636,0.057,0,10.3
"Alcohol","2",1.739,0.062,0,10.3
"Physical Inactivity","3",0.022,0.026,0.394,82.7
"Sleep Problems","3",-0.404,0.018,0,82.7
"Unhealthy Diet","3",0.118,0.026,0,82.7
"Smoking","3",-0.297,0,0,82.7
"Alcohol","3",0.224,0.025,0,82.7
