"Variable","LatentClass","Estimate","SE","PValue","Proportion"
"Physical Inactivity","1",0.386,0.063,0,7.4
"Sleep Problems","1",0.14,0.059,0.018,7.4
"Unhealthy Diet","1",0.635,0.056,0,7.4
"Smoking","1",4.189,0,0,7.4
"Alcohol","1",1.79,0.07,0,7.4
"Physical Inactivity","2",0.074,0.061,0.225,6.8
"Sleep Problems","2",0.106,0.06,0.076,6.8
"Unhealthy Diet","2",0.567,0.054,0,6.8
"Smoking","2",1.797,0.043,0,6.8
"Alcohol","2",1.224,0.072,0,6.8
"Physical Inactivity","3",0.094,0.017,0,85.8
"Sleep Problems","3",-0.012,0.017,0.475,85.8
"Unhealthy Diet","3",0.256,0.016,0,85.8
"Smoking","3",-0.291,0,0,85.8
"Alcohol","3",0.151,0.017,0,85.8
