"Variable","LatentClass","Estimate","SE","PValue","Proportion"
"Physical Inactivity","1",0.286,0.038,0,3.1
"Sleep Problems","1",0.273,0.046,0,3.1
"Unhealthy Diet","1",0.371,0.036,0,3.1
"Smoking","1",2.266,0.032,0,3.1
"Alcohol","1",0.859,0.054,0,3.1
"Physical Inactivity","2",-0.019,0.007,0.006,93.5
"Sleep Problems","2",-0.021,0.008,0.006,93.5
"Unhealthy Diet","2",-0.025,0.007,0,93.5
"Smoking","2",-0.246,0,0,93.5
"Alcohol","2",-0.077,0.006,0,93.5
"Physical Inactivity","3",0.27,0.04,0,3.4
"Sleep Problems","3",0.291,0.048,0,3.4
"Unhealthy Diet","3",0.355,0.037,0,3.4
"Smoking","3",4.762,0.006,0,3.4
"Alcohol","3",1.369,0.056,0,3.4
