"Variable","LatentClass","Estimate","SE","PValue","Proportion"
"Physical Inactivity","1",-0.105,0.015,0,93.1
"Sleep Problems","1",0.042,0.016,0.01,93.1
"Unhealthy Diet","1",-0.142,0.014,0,93.1
"Smoking","1",-0.283,0,0,93.1
"Alcohol","1",-0.156,0.013,0,93.1
"Physical Inactivity","2",0.178,0.08,0.026,3.6
"Sleep Problems","2",0.296,0.087,0.001,3.6
"Unhealthy Diet","2",0.353,0.081,0,3.6
"Smoking","2",1.339,0,0,3.6
"Alcohol","2",1.488,0.09,0,3.6
"Physical Inactivity","3",0.242,0.092,0.008,3.4
"Sleep Problems","3",0.34,0.094,0,3.4
"Unhealthy Diet","3",0.575,0.095,0,3.4
"Smoking","3",4.102,0.062,0,3.4
"Alcohol","3",2.131,0.109,0,3.4
