"Variable","LatentClass","Estimate","SE","PValue","Proportion"
"Physical Inactivity","1",0.23,0.036,0,3.9
"Sleep Problems","1",0.145,0.039,0,3.9
"Unhealthy Diet","1",0.511,0.037,0,3.9
"Smoking","1",1.346,0.003,0,3.9
"Alcohol","1",1.315,0.042,0,3.9
"Physical Inactivity","2",-0.038,0.007,0,91.2
"Sleep Problems","2",-0.019,0.007,0.011,91.2
"Unhealthy Diet","2",-0.068,0.007,0,91.2
"Smoking","2",-0.281,0,0,91.2
"Alcohol","2",-0.169,0.006,0,91.2
"Physical Inactivity","3",0.529,0.035,0,4.8
"Sleep Problems","3",0.235,0.038,0,4.8
"Unhealthy Diet","3",0.886,0.039,0,4.8
"Smoking","3",4.083,0.025,0,4.8
"Alcohol","3",1.973,0.041,0,4.8
