"Variable","LatentClass","Estimate","SE","PValue","Proportion"
"Physical Inactivity","1",0.092,0.06,0.128,7
"Sleep Problems","1",0.415,0.065,0,7
"Unhealthy Diet","1",0.248,0.059,0,7
"Smoking","1",1.527,0.037,0,7
"Alcohol","1",1.075,0.065,0,7
"Physical Inactivity","2",-0.207,0.018,0,69
"Sleep Problems","2",-0.436,0.009,0,69
"Unhealthy Diet","2",-0.053,0.018,0.004,69
"Smoking","2",-0.342,0,0,69
"Alcohol","2",-0.261,0.014,0,69
"Physical Inactivity","3",0.046,0.04,0.246,18.6
"Sleep Problems","3",1.729,0.021,0,18.6
"Unhealthy Diet","3",0.144,0.04,0,18.6
"Smoking","3",-0.342,0,0,18.6
"Alcohol","3",-0.071,0.035,0.039,18.6
"Physical Inactivity","4",0.01,0.074,0.889,5.3
"Sleep Problems","4",0.574,0.077,0,5.3
"Unhealthy Diet","4",0.422,0.07,0,5.3
"Smoking","4",3.689,0,0,5.3
"Alcohol","4",1.485,0.094,0,5.3
