"Variable","LatentClass","Estimate","SE","PValue","Proportion"
"Physical Inactivity","1",0.073,0.04,0.068,2.6
"Sleep Problems","1",0.204,0.043,0,2.6
"Unhealthy Diet","1",0.32,0.04,0,2.6
"Smoking","1",2.295,0.007,0,2.6
"Alcohol","1",1.138,0.045,0,2.6
"Physical Inactivity","2",0.117,0.029,0,4.9
"Sleep Problems","2",0.23,0.031,0,4.9
"Unhealthy Diet","2",0.19,0.027,0,4.9
"Smoking","2",0.895,0.007,0,4.9
"Alcohol","2",0.781,0.031,0,4.9
"Physical Inactivity","3",0.107,0.03,0,5.3
"Sleep Problems","3",0.248,0.03,0,5.3
"Unhealthy Diet","3",0.432,0.027,0,5.3
"Smoking","3",3.675,0.003,0,5.3
"Alcohol","3",1.623,0.035,0,5.3
"Physical Inactivity","4",-0.015,0.007,0.021,87.2
"Sleep Problems","4",-0.034,0.007,0,87.2
"Unhealthy Diet","4",-0.046,0.007,0,87.2
"Smoking","4",-0.342,0,0,87.2
"Alcohol","4",-0.177,0.005,0,87.2
