"Variable","LatentClass","Estimate","SE","PValue","Proportion"
"Physical Inactivity","1",-0.071,0.08,0.374,4.2
"Sleep Problems","1",0.002,0.081,0.975,4.2
"Unhealthy Diet","1",0.433,0.077,0,4.2
"Smoking","1",1.383,0,0,4.2
"Alcohol","1",1.144,0.095,0,4.2
"Physical Inactivity","2",-0.014,0.019,0.455,76
"Sleep Problems","2",-0.49,0.008,0,76
"Unhealthy Diet","2",0.089,0.018,0,76
"Smoking","2",-0.275,0,0,76
"Alcohol","2",0.02,0.017,0.226,76
"Physical Inactivity","3",0.067,0.046,0.139,13.8
"Sleep Problems","3",1.804,0.034,0,13.8
"Unhealthy Diet","3",0.209,0.047,0,13.8
"Smoking","3",-0.275,0,0,13.8
"Alcohol","3",0.155,0.044,0.001,13.8
"Physical Inactivity","4",0.212,0.068,0.002,6
"Sleep Problems","4",0.111,0.071,0.117,6
"Unhealthy Diet","4",0.588,0.073,0,6
"Smoking","4",4.011,0.054,0,6
"Alcohol","4",1.799,0.091,0,6
