"Variable","LatentClass","Estimate","SE","PValue","Proportion"
"Physical Inactivity","1",0.034,0.096,0.72,1.9
"Sleep Problems","1",0.391,0.128,0.002,1.9
"Unhealthy Diet","1",0.162,0.088,0.064,1.9
"Smoking","1",2.017,0.035,0,1.9
"Alcohol","1",0.059,0.097,0.546,1.9
"Physical Inactivity","2",-0.043,0.014,0.003,88.8
"Sleep Problems","2",0.076,0.017,0,88.8
"Unhealthy Diet","2",-0.194,0.016,0,88.8
"Smoking","2",-0.34,0,0,88.8
"Alcohol","2",-0.623,0.009,0,88.8
"Physical Inactivity","3",-0.02,0.071,0.775,4.8
"Sleep Problems","3",0.489,0.079,0,4.8
"Unhealthy Diet","3",0.319,0.075,0,4.8
"Smoking","3",3.413,0.019,0,4.8
"Alcohol","3",0.615,0.102,0,4.8
"Physical Inactivity","4",0.003,0.066,0.96,4.5
"Sleep Problems","4",0.442,0.079,0,4.5
"Unhealthy Diet","4",0.142,0.076,0.061,4.5
"Smoking","4",0.494,0.021,0,4.5
"Alcohol","4",0.017,0.07,0.812,4.5
