"Variable","LatentClass","Estimate","SE","PValue","Proportion"
"Physical Inactivity","1",-0.123,0.014,0,87.9
"Sleep Problems","1",-0.1,0.013,0,87.9
"Unhealthy Diet","1",-0.055,0.014,0,87.9
"Smoking","1",-0.285,0,0,87.9
"Alcohol","1",0.127,0.013,0,87.9
"Physical Inactivity","2",0.309,0.054,0,7.1
"Sleep Problems","2",0.265,0.053,0,7.1
"Unhealthy Diet","2",0.574,0.048,0,7.1
"Smoking","2",4.115,0,0,7.1
"Alcohol","2",1.487,0.048,0,7.1
"Physical Inactivity","3",0,0.061,0.999,5.1
"Sleep Problems","3",0.232,0.06,0,5.1
"Unhealthy Diet","3",0.282,0.058,0,5.1
"Smoking","3",1.802,0.041,0,5.1
"Alcohol","3",1.311,0.058,0,5.1
