"Variable","LatentClass","Estimate","SE","PValue","Proportion"
"Physical Inactivity","1",0.34,0.031,0,4.6
"Sleep Problems","1",0.324,0.031,0,4.6
"Unhealthy Diet","1",0.619,0.028,0,4.6
"Smoking","1",4.106,0.002,0,4.6
"Alcohol","1",1.409,0.03,0,4.6
"Physical Inactivity","2",-0.025,0.006,0,91.6
"Sleep Problems","2",-0.029,0.006,0,91.6
"Unhealthy Diet","2",-0.045,0.006,0,91.6
"Smoking","2",-0.283,0,0,91.6
"Alcohol","2",-0.123,0.006,0,91.6
"Physical Inactivity","3",0.18,0.032,0,3.8
"Sleep Problems","3",0.299,0.033,0,3.8
"Unhealthy Diet","3",0.336,0.03,0,3.8
"Smoking","3",1.823,0.022,0,3.8
"Alcohol","3",1.231,0.031,0,3.8
