"Variable","LatentClass","Estimate","SE","PValue","Proportion"
"Physical Inactivity","1",-0.237,0.021,0,70.4
"Sleep Problems","1",-0.435,0.013,0,70.4
"Unhealthy Diet","1",0.113,0.018,0,70.4
"Smoking","1",-0.337,0,0,70.4
"Alcohol","1",0.032,0.021,0.124,70.4
"Physical Inactivity","2",-0.139,0.047,0.003,17
"Sleep Problems","2",1.638,0.034,0,17
"Unhealthy Diet","2",0.246,0.039,0,17
"Smoking","2",-0.337,0,0,17
"Alcohol","2",0.113,0.05,0.022,17
"Physical Inactivity","3",-0.095,0.066,0.149,7.3
"Sleep Problems","3",0.153,0.066,0.021,7.3
"Unhealthy Diet","3",0.385,0.056,0,7.3
"Smoking","3",1.498,0.039,0,7.3
"Alcohol","3",1.111,0.07,0,7.3
"Physical Inactivity","4",-0.137,0.082,0.096,5.2
"Sleep Problems","4",0.315,0.082,0,5.2
"Unhealthy Diet","4",0.695,0.054,0,5.2
"Smoking","4",3.74,0,0,5.2
"Alcohol","4",1.627,0.081,0,5.2
