"Variable","LatentClass","Estimate","SE","PValue","Proportion"
"Physical Inactivity","1",0.519,0.067,0,4.6
"Sleep Problems","1",0.085,0.069,0.219,4.6
"Unhealthy Diet","1",0.75,0.065,0,4.6
"Smoking","1",4.137,0,0,4.6
"Alcohol","1",1.774,0.068,0,4.6
"Physical Inactivity","2",0.195,0.034,0,19.7
"Sleep Problems","2",1.498,0.027,0,19.7
"Unhealthy Diet","2",0.19,0.033,0,19.7
"Smoking","2",-0.293,0,0,19.7
"Alcohol","2",0.247,0.035,0,19.7
"Physical Inactivity","3",0.066,0.017,0,70.9
"Sleep Problems","3",-0.506,0.011,0,70.9
"Unhealthy Diet","3",0.105,0.016,0,70.9
"Smoking","3",-0.293,0,0,70.9
"Alcohol","3",0.012,0.015,0.435,70.9
"Physical Inactivity","4",0.426,0.066,0,4.8
"Sleep Problems","4",0.131,0.061,0.031,4.8
"Unhealthy Diet","4",0.413,0.059,0,4.8
"Smoking","4",1.809,0.046,0,4.8
"Alcohol","4",1.243,0.065,0,4.8
