"Variable","LatentClass","Estimate","SE","PValue","Proportion"
"Physical Inactivity","1",0.188,0.039,0,2.9
"Sleep Problems","1",0.249,0.04,0,2.9
"Unhealthy Diet","1",0.333,0.036,0,2.9
"Smoking","1",1.073,0.01,0,2.9
"Alcohol","1",0.994,0.039,0,2.9
"Physical Inactivity","2",0.333,0.046,0,2
"Sleep Problems","2",0.239,0.047,0,2
"Unhealthy Diet","2",0.356,0.044,0,2
"Smoking","2",2.623,0.007,0,2
"Alcohol","2",1.335,0.049,0,2
"Physical Inactivity","3",-0.033,0.007,0,90.6
"Sleep Problems","3",-0.028,0.007,0,90.6
"Unhealthy Diet","3",-0.047,0.007,0,90.6
"Smoking","3",-0.293,0,0,90.6
"Alcohol","3",-0.139,0.006,0,90.6
"Physical Inactivity","4",0.399,0.033,0,4.4
"Sleep Problems","4",0.291,0.034,0,4.4
"Unhealthy Diet","4",0.589,0.031,0,4.4
"Smoking","4",4.113,0.004,0,4.4
"Alcohol","4",1.571,0.035,0,4.4
