"Variable","LatentClass","Estimate","SE","PValue","Proportion"
"Physical Inactivity","1",0.03,0.07,0.662,2.2
"Sleep Problems","1",0.592,0.089,0,2.2
"Unhealthy Diet","1",0.473,0.068,0,2.2
"Smoking","1",4.038,0.003,0,2.2
"Alcohol","1",1.81,0.074,0,2.2
"Physical Inactivity","2",-0.004,0.049,0.929,3.8
"Sleep Problems","2",0.29,0.058,0,3.8
"Unhealthy Diet","2",0.301,0.048,0,3.8
"Smoking","2",1.805,0.035,0,3.8
"Alcohol","2",1.344,0.051,0,3.8
"Physical Inactivity","3",-0.168,0.01,0,94
"Sleep Problems","3",-0.039,0.01,0,94
"Unhealthy Diet","3",-0.156,0.01,0,94
"Smoking","3",-0.306,0,0,94
"Alcohol","3",-0.136,0.008,0,94
