"Variable","LatentClass","Estimate","SE","PValue","Proportion"
"Physical Inactivity","1",0.163,0.023,0,5.4
"Sleep Problems","1",0.23,0.026,0,5.4
"Unhealthy Diet","1",0.384,0.023,0,5.4
"Smoking","1",1.814,0.017,0,5.4
"Alcohol","1",1.281,0.033,0,5.4
"Physical Inactivity","2",-0.025,0.006,0,90.2
"Sleep Problems","2",-0.031,0.006,0,90.2
"Unhealthy Diet","2",-0.053,0.006,0,90.2
"Smoking","2",-0.303,0,0,90.2
"Alcohol","2",-0.159,0.005,0,90.2
"Physical Inactivity","3",0.317,0.026,0,4.4
"Sleep Problems","3",0.355,0.031,0,4.4
"Unhealthy Diet","3",0.625,0.026,0,4.4
"Smoking","3",4.031,0.002,0,4.4
"Alcohol","3",1.781,0.039,0,4.4
