"Variable","LatentClass","Estimate","SE","PValue","Proportion"
"Physical Inactivity","1",0.288,0.072,0,4.9
"Sleep Problems","1",0.108,0.077,0.159,4.9
"Unhealthy Diet","1",0.741,0.077,0,4.9
"Smoking","1",1.576,0,0,4.9
"Alcohol","1",1.788,0.089,0,4.9
"Physical Inactivity","2",0.066,0.017,0,88.5
"Sleep Problems","2",-0.08,0.017,0,88.5
"Unhealthy Diet","2",0.25,0.017,0,88.5
"Smoking","2",-0.25,0,0,88.5
"Alcohol","2",0.151,0.018,0,88.5
"Physical Inactivity","3",0.371,0.067,0,6.7
"Sleep Problems","3",0.15,0.067,0.025,6.7
"Unhealthy Diet","3",1.043,0.07,0,6.7
"Smoking","3",4.535,0.055,0,6.7
"Alcohol","3",2.525,0.078,0,6.7
