"Variable","LatentClass","Estimate","SE","PValue","Proportion"
"Physical Inactivity","1",0.199,0.039,0,2.7
"Sleep Problems","1",0.329,0.04,0,2.7
"Unhealthy Diet","1",0.475,0.039,0,2.7
"Smoking","1",1.599,0.007,0,2.7
"Alcohol","1",1.478,0.046,0,2.7
"Physical Inactivity","2",-0.022,0.006,0.001,92.9
"Sleep Problems","2",-0.03,0.006,0,92.9
"Unhealthy Diet","2",-0.054,0.006,0,92.9
"Smoking","2",-0.246,0,0,92.9
"Alcohol","2",-0.144,0.005,0,92.9
"Physical Inactivity","3",0.343,0.034,0,4.4
"Sleep Problems","3",0.43,0.033,0,4.4
"Unhealthy Diet","3",0.858,0.035,0,4.4
"Smoking","3",4.492,0.027,0,4.4
"Alcohol","3",2.143,0.041,0,4.4
