"Variable","LatentClass","Estimate","SE","PValue","Proportion"
"Physical Inactivity","1",0.213,0.048,0,12.9
"Sleep Problems","1",1.819,0.039,0,12.9
"Unhealthy Diet","1",0.255,0.045,0,12.9
"Smoking","1",-0.35,0.001,0,12.9
"Alcohol","1",0.301,0.043,0,12.9
"Physical Inactivity","2",0.393,0.046,0,11.8
"Sleep Problems","2",0.005,0.045,0.921,11.8
"Unhealthy Diet","2",0.356,0.042,0,11.8
"Smoking","2",1.491,0.029,0,11.8
"Alcohol","2",0.899,0.04,0,11.8
"Physical Inactivity","3",0.191,0.02,0,64
"Sleep Problems","3",-0.414,0.013,0,64
"Unhealthy Diet","3",0.129,0.018,0,64
"Smoking","3",-0.351,0,0,64
"Alcohol","3",0.159,0.016,0,64
"Physical Inactivity","4",0.311,0.048,0,11.4
"Sleep Problems","4",-0.074,0.046,0.103,11.4
"Unhealthy Diet","4",0.494,0.04,0,11.4
"Smoking","4",3.453,0,0,11.4
"Alcohol","4",1.415,0.043,0,11.4
