"Variable","LatentClass","Estimate","SE","PValue","Proportion"
"Physical Inactivity","1",-0.029,0.007,0,87.1
"Sleep Problems","1",-0.016,0.007,0.02,87.1
"Unhealthy Diet","1",-0.062,0.007,0,87.1
"Smoking","1",-0.351,0,0,87.1
"Alcohol","1",-0.164,0.006,0,87.1
"Physical Inactivity","2",0.18,0.027,0,6.2
"Sleep Problems","2",0.058,0.027,0.033,6.2
"Unhealthy Diet","2",0.49,0.023,0,6.2
"Smoking","2",3.436,0.003,0,6.2
"Alcohol","2",1.364,0.027,0,6.2
"Physical Inactivity","3",0.246,0.033,0,3.8
"Sleep Problems","3",0.158,0.035,0,3.8
"Unhealthy Diet","3",0.343,0.031,0,3.8
"Smoking","3",0.825,0.007,0,3.8
"Alcohol","3",0.749,0.033,0,3.8
"Physical Inactivity","4",0.158,0.036,0,2.9
"Sleep Problems","4",0.137,0.04,0.001,2.9
"Unhealthy Diet","4",0.358,0.035,0,2.9
"Smoking","4",2.143,0.006,0,2.9
"Alcohol","4",1.06,0.037,0,2.9
