"Variable","LatentClass","Estimate","SE","PValue","Proportion"
"Physical Inactivity","1",0.248,0.062,0,6.7
"Sleep Problems","1",0.293,0.063,0,6.7
"Unhealthy Diet","1",0.716,0.058,0,6.7
"Smoking","1",4.551,0,0,6.7
"Alcohol","1",1.599,0.063,0,6.7
"Physical Inactivity","2",-0.127,0.016,0,87.9
"Sleep Problems","2",-0.102,0.015,0,87.9
"Unhealthy Diet","2",0.016,0.016,0.327,87.9
"Smoking","2",-0.266,0,0,87.9
"Alcohol","2",0.344,0.017,0,87.9
"Physical Inactivity","3",0.129,0.064,0.045,5.4
"Sleep Problems","3",0.155,0.066,0.019,5.4
"Unhealthy Diet","3",0.186,0.065,0.004,5.4
"Smoking","3",2.03,0.052,0,5.4
"Alcohol","3",1.547,0.067,0,5.4
