"Variable","LatentClass","Estimate","SE","PValue","Proportion"
"Physical Inactivity","1",0.29,0.032,0,3.9
"Sleep Problems","1",0.377,0.03,0,3.9
"Unhealthy Diet","1",0.75,0.028,0,3.9
"Smoking","1",4.517,0.004,0,3.9
"Alcohol","1",1.519,0.035,0,3.9
"Physical Inactivity","2",-0.021,0.006,0,92.7
"Sleep Problems","2",-0.027,0.006,0,92.7
"Unhealthy Diet","2",-0.044,0.006,0,92.7
"Smoking","2",-0.259,0,0,92.7
"Alcohol","2",-0.11,0.005,0,92.7
"Physical Inactivity","3",0.237,0.031,0,3.4
"Sleep Problems","3",0.296,0.031,0,3.4
"Unhealthy Diet","3",0.354,0.028,0,3.4
"Smoking","3",1.969,0.022,0,3.4
"Alcohol","3",1.287,0.034,0,3.4
