term,estimate,std.error,statistic,p.value,std_estimate,std_conf.low,std_conf.high
(Intercept),-0.2999386903422296,0.03565281753181942,-8.412762611946178,4.56346133043852e-17,-0.2999386903422296,-0.36981821270459564,-0.23005916797986353
profile1,0.9809844349379137,0.05086434882030655,19.286287108550887,2.223818178990758e-81,0.3679177116896534,0.2682235880018526,0.46761183537745427
profile3,0.3863180236224937,0.11768123772811172,3.282749494146508,0.00103159625836933,0.05644280630482305,-0.17421241964227593,0.28709803225192204
surveyyear2014,-0.13405040442411428,0.027607788215873917,-4.855528569544663,1.2192024664438365e-6,-0.062168213955724895,-0.11627947885883777,-0.00805694905261202
surveyyear2018,-0.03259638501961348,0.025948409973669873,-1.2561997075230962,0.2090734902497349,-0.016199702933431096,-0.06705858648182404,0.03465918061496186
age,0.1314949820134206,0.009385891487106338,14.009855344487942,3.610963678759428e-44,0.1313917488058814,0.11299540149115297,0.1497880961206098
sex,0.11861790332712478,0.018742342157033593,6.32887300494672,2.57756419045866e-10,0.05923061561766147,0.02249562498987563,0.09596560624544731
fas,-0.008221519481394813,0.009392084570575578,-0.8753668495652154,0.3813957650182366,-0.008144045296366836,-0.026552531054694968,0.010264440461961295
profile1:surveyyear2014,0.20945456380565874,0.06854951409526552,3.0555222246298177,0.0022527246428775266,0.04478874902667314,-0.0895682986000473,0.17914579665339359
profile3:surveyyear2014,0.2595684025695008,0.17989985092804567,1.4428494589098915,0.14909481412880554,0.01773584845091878,-0.3348678593680507,0.3703395562698883
profile1:surveyyear2018,-0.1985082432710932,0.06230312867368619,-3.18616813468203,0.0014462248300469486,-0.054339260874815186,-0.1764533930752401,0.06777487132560975
profile3:surveyyear2018,0.15500755658506957,0.1483218628359382,1.0450755783490027,0.29601379314471254,0.015953431758087434,-0.2747574194003514,0.3066642829165263
