term,estimate,std.error,statistic,p.value,std_estimate,std_conf.low,std_conf.high
(Intercept),0.245749307587759,0.03650865687871522,6.731261256861861,1.769266769451779e-11,0.245749307587759,0.17419234010547718,0.31730627507004083
profile1,-0.5494716902454767,0.05374400903648962,-10.223868671062696,2.0144178205721437e-24,-0.19997309391822582,-0.3053113516297455,-0.09463483620670617
profile3,-0.21604016257308808,0.12267270659032922,-1.7611102630560154,0.07824868271636987,-0.031333372534906895,-0.2717718774519522,0.20910513238213838
surveyyear2014,0.12923170074107118,0.028012716258153058,4.613322733508875,4.009458549341905e-6,0.060498857505089584,0.005593933639109594,0.11540378137106957
surveyyear2018,0.08806857831102004,0.026616514045249378,3.3087946137987543,9.401209642141991e-4,0.043706083413219236,-0.008462284115469544,0.09587445094190802
age,-0.08171596105138156,0.009554257535174271,-8.552832153680379,1.3671587647417686e-17,-0.08191346945002641,-0.10063981421896798,-0.06318712468108484
sex,-0.17253822389614024,0.01910942688451994,-9.02895858357265,2.034600580276118e-19,-0.08619348236154852,-0.12364795905520759,-0.04873900566788943
fas,0.12599230984564133,0.009512774736625379,13.244538353310848,1.005743168808708e-39,0.12578393873204627,0.10713890024826053,0.144428977215832
profile1:surveyyear2014,0.18150095295033758,0.07214924443354293,2.515632067602858,0.011896632239022178,0.037544180177086627,-0.10386833891265751,0.17895669926683078
profile3:surveyyear2014,0.13510744378174191,0.18183701188819298,0.7430139902695723,0.4574897404973264,0.009547710839792384,-0.34685283246106585,0.36594825414065063
profile1:surveyyear2018,0.24598624702266894,0.06574215981592921,3.741681863075434,1.837613144841791e-4,0.0650566067862582,-0.06379802645296305,0.19391124002547944
profile3:surveyyear2018,-0.0171439321353485,0.154424589787053,-0.11101814911076974,0.9116040648225803,-0.0017327922942237195,-0.30440498827684764,0.30093940368840016
