term,estimate,std.error,statistic,p.value,std_estimate,std_conf.low,std_conf.high
(Intercept),-0.5469896852786592,0.05476043136059899,-9.988776050296547,3.084229760331691e-23,-0.5469896852786592,-0.6543201307454333,-0.4396592398118852
profile1,0.10501209468394304,0.1432036977869937,0.7333057477338454,0.46341266463279995,0.03463449034113892,-0.24604475732136877,0.3153137380036466
profile2,0.12689272194893003,0.17640849875922743,0.7193118406507194,0.47198859454742303,0.03418102417318165,-0.31157963339490413,0.3799416817412674
profile3,0.7909722306423937,0.1430295285625932,5.530132404066793,3.3931769299245125e-8,0.26832131159772094,-0.012016564384961737,0.5486591875804037
age,0.07647709518883515,0.01579321503200912,4.84240194500196,1.3286776727335987e-6,0.07699678116661257,0.046042079703874694,0.10795148262935045
sex,0.2330916594457975,0.034971990124135925,6.665095655649555,2.9856359590738756e-11,0.11758204409722717,0.04903694345392076,0.18612714474053357
fas,-0.011977382824265885,0.014365041830899912,-0.8337868392768578,0.40444825927791517,-0.01207794176931459,-0.04023342375787842,0.016077540219249238
profile1:sex,0.17233490632227186,0.08918426324905113,1.932346582726358,0.05338352754931185,0.09228869322708085,-0.08251246274105935,0.26708984919522105
profile2:sex,0.2592323634067159,0.10888841338035586,2.380715774608605,0.01732312250223347,0.11375502844116196,-0.09966626178433553,0.32717631866665947
profile3:sex,0.008250605846248094,0.08733697710425407,0.09446864455131476,0.9247413698114696,0.004649910176090367,-0.1665305649482476,0.17583038530042835
