term,estimate,std.error,statistic,p.value,std_estimate,std_conf.low,std_conf.high
(Intercept),0.2194970724793382,0.056021784648113374,3.918066406810375,9.068005012088764e-5,0.2194970724793382,0.10969437456903598,0.3292997703896404
profile1,-0.07037776156904657,0.14644206240513485,-0.480584337677143,0.63083695035493,-0.023161131724517284,-0.3101875740385816,0.26386531058954704
profile2,-0.07599706431490541,0.18022252998232433,-0.42168459360968336,0.6732768064170677,-0.020400670352991132,-0.37363682911834684,0.33283548841236454
profile3,-0.37570800917027897,0.14730852896938043,-2.55048374862513,0.010792496433347117,-0.12647991199112807,-0.4152046287711137,0.16224480478885756
age,-0.19728030640587751,0.016160222074294087,-12.207771990936278,1.0443581434073126e-33,-0.19780937229290857,-0.22948340755852498,-0.16613533702729216
sex,-0.0658246444586285,0.035777400372727856,-1.839838662755521,0.06586236990372708,-0.033068219550534135,-0.10319192428108073,0.037055485180012455
fas,0.08675589289466203,0.01475502188834632,5.879753588382189,4.4275289732716375e-9,0.08680539626317324,0.05788555336201445,0.11572523916433203
profile1:sex,-0.13946651074868754,0.09109363372267212,-1.531023684632925,0.12583876161892618,-0.07460918288047116,-0.25315270497690856,0.1039343392159662
profile2:sex,-0.1594153289539072,0.1113238008056919,-1.4319968218849783,0.15221905577409725,-0.06965797329014775,-0.2878526228693039,0.14853667628900838
profile3:sex,-0.07629146604292068,0.08978378332265086,-0.8497243401824179,0.3955267379791837,-0.04275186975321845,-0.21872808506561414,0.13322434555917723
