term,estimate,std.error,statistic,p.value,std_estimate,std_conf.low,std_conf.high
(Intercept),0.3957961818484223,0.051932048621517256,7.621424387337382,3.0044846754284244e-14,0.3957961818484223,0.29400936655024845,0.49758299714659615
profile1,-0.132737947998861,0.1367771657859108,-0.9704686249064983,0.3318618447293793,-0.04526867164674155,-0.3133519165871267,0.2228145732936436
profile3,-0.10016392254654578,0.15268006452782157,-0.6560379893492498,0.5118311196185665,-0.02995417193929109,-0.32920709841382134,0.2692987545352392
profile4,-0.13306982249019317,0.16961433106263982,-0.7845435091274776,0.4327599703794074,-0.03594762629776698,-0.36839171518054104,0.29649646258500706
age,-0.054032164634416895,0.014800264742467728,-3.650756630006594,2.6425179624604573e-4,-0.05400390390389812,-0.08301242279913487,-0.024995385008661376
sex,-0.15721841171344894,0.033085950892220314,-4.751817840315316,2.074808971437388e-6,-0.07870467961601349,-0.14355314336476532,-0.01385621586726167
fas,0.09333308777672075,0.013855006206540862,6.736416165057998,1.814388900913626e-11,0.09275006237244317,0.06559425020762308,0.11990587453726326
profile1:sex,-0.229132308264737,0.08296200050930495,-2.7618946850135044,0.005768560749081171,-0.13082687816122932,-0.29343239915946706,0.0317786428370084
profile3:sex,-0.22378407754379523,0.09370309108482947,-2.388225137004321,0.016968388561719096,-0.10990995926445414,-0.2935680177907199,0.0737480992618116
profile4:sex,-0.2875953225728917,0.10363693015176019,-2.7750274168846283,0.00554106373469989,-0.12772377670279358,-0.3308521598002435,0.07540460639465638
