y.level,term,estimate,std.error,statistic,p.value,odds_ratio,conf.low,conf.high
1,(Intercept),-3.039442984682233,0.2642137539629014,-11.503727338543491,1.263391992395038e-30,0.047861541682519805,0.02851565790350567,0.0803322574558577
1,age,1.6031023670306181,0.12358083568292565,12.972095213401348,1.761485873561515e-38,4.96842240923729,3.8996387829592343,6.330130201925762
1,sex,-0.1631146414070462,0.151758948666181,-1.0748271705930432,0.2824521134151721,0.8494937956680638,0.6309288497056745,1.1437735161661662
1,fas,-0.017199414388969297,0.07737410446221123,-0.2222890269104094,0.8240888936926395,0.9829476511843641,0.8446333432257528,1.1439118437816835
2,(Intercept),-3.1363113896485078,0.2879210503188257,-10.892956198150685,1.2453110497258803e-27,0.04344274609026768,0.024707791289318944,0.0763836866583589
2,age,1.213304672246247,0.11694608721736337,10.374906088060241,3.2252934607534224e-25,3.364585151862271,2.675377097124616,4.231341165437498
2,sex,-0.08864706381961203,0.17131320730642036,-0.5174560981807605,0.6048378078998562,0.915168512661926,0.6541484600575219,1.2803414785906462
2,fas,0.15099305052372014,0.08996159075360875,1.6784168583375472,0.09326574881040255,1.162988575892215,0.974986487208803,1.387242228892698
4,(Intercept),-1.8865509182847386,0.20818949452268465,-9.061700844271838,1.2843202583875018e-19,0.15159376747147,0.1008014712669405,0.22797951307017286
4,age,0.9548790663579155,0.07992357688038446,11.947401550696492,6.698703048007941e-33,2.5983563352232935,2.2216026629488934,3.0390023190885675
4,sex,-0.4212642984137421,0.13256376685440316,-3.177823838367713,0.0014838487774984674,0.6562166414701759,0.5060654443244361,0.8509181675450039
4,fas,0.07089653950731933,0.068200595481241,1.03952962590803,0.29855848709993793,1.0734701583714443,0.9391532311387317,1.2269969827147307
