term,estimate,std.error,statistic,p.value,std_estimate,std_conf.low,std_conf.high
(Intercept),-0.44215262652388615,0.04925754009467771,-8.976344041420388,4.2013921830565036e-19,-0.44215262652388615,-0.5386974051094544,-0.34560784793831784
profile1,0.24001741261252957,0.3147250027208443,0.7626258178967145,0.44573108450743015,0.034933917336323964,-0.5819270879965308,0.6517949226691788
profile2,-0.06766472512074372,0.2739123110432757,-0.24703060940569882,0.8048970808360965,-0.012280379981872034,-0.5491485096266924,0.5245877496629483
profile4,0.9841381667188484,0.49096870683568444,2.0044824711164657,0.04508498797861142,0.11331767781088148,-0.84898098758706,1.075616343208823
age,0.1259493710378383,0.015612883789828594,8.067015212134685,9.409235674444355e-16,0.1262731021044085,0.09567184987634446,0.15687435433247254
sex,0.26095784107671016,0.031056979408517097,8.402550603654161,5.976689465150428e-17,0.13100945326626248,0.07013777362556897,0.191881132906956
fas,-0.038738721917151955,0.015094937475763811,-2.566338680060797,0.010313550344362077,-0.03864524692052543,-0.0682313243730225,-0.009059169468028358
profile1:sex,0.4517389856696827,0.2097806151264384,2.1533876492707003,0.03134719506891905,0.09855185927100298,-0.3126181463768163,0.5097218649188222
profile2:sex,0.41968083183786586,0.16701804704989875,2.512787325985682,0.012016769246849081,0.12503380894299154,-0.20232156327481,0.4523891811607931
profile4:sex,-0.1960824452127387,0.28097570604795724,-0.6978626300854321,0.4853032483815677,-0.03948501889889794,-0.5901974027528942,0.5112273649550982
