term,estimate,std.error,statistic,p.value,std_estimate,std_conf.low,std_conf.high
(Intercept),0.35374965715363055,0.026224432308767556,13.489316107535423,2.6919305483047084e-41,0.35374965715363055,0.30234976982844614,0.40514954447881496
profile2,-0.2665211464528157,0.05641894008313853,-4.723965853666732,2.327927396981606e-6,-0.06347834637186817,-0.1740594689348197,0.047102776191083356
profile3,-0.24959267563236226,0.0552907060683159,-4.514188611083595,6.3906613829347334e-6,-0.05844028653939859,-0.16681007043329776,0.04992949735450057
profile4,-0.16571021716672737,0.07358293219159684,-2.252019758267413,0.0243313623998469,-0.029272897608462127,-0.17349544470399195,0.11494964948706768
surveyyear2006,-0.01690494804624652,0.022790879677769944,-0.7417417969493947,0.45825212781937896,-0.007036114732074782,-0.05170623890050387,0.03763400943635431
surveyyear2010,-0.1426406559179428,0.0230494893622769,-6.188451886113816,6.188828842071225e-10,-0.05997656468579841,-0.10515356383586114,-0.014799565535735686
surveyyear2014,-0.0017275194247165296,0.025022144601049387,-0.06903962279252755,0.9449587409679149,-6.27480260849804e-4,-0.049670883678906604,0.04841592315720699
surveyyear2018,-0.1577323676547881,0.0236492978727579,-6.669642731190052,2.6283866440087894e-11,-0.062319290064720895,-0.10867191389532638,-0.015966666234115412
age,-0.16783098310021863,0.007234771321450306,-23.19782832701541,1.463023773958472e-117,-0.16788707409123377,-0.18206722588127636,-0.15370692230119118
sex,-0.15913196144260572,0.013310643814448965,-11.955241509044427,7.801264047902621e-33,-0.07967246126822339,-0.10576132314454337,-0.053583599391903415
fas,0.1067161473479717,0.007008400430344351,15.226890701895627,4.46476016908485e-52,0.10607527813657762,0.09233881329310269,0.11981174298005255
profile2:surveyyear2006,-0.12744181403573268,0.07736675868175182,-1.6472425135446687,0.09952324619117979,-0.016329807149025728,-0.1679686541652593,0.13530903986720783
profile3:surveyyear2006,-0.004091212307565574,0.07969808760042407,-0.051333883042179854,0.9590599596401184,-4.865010468155158e-4,-0.1566947527436467,0.15572175065001564
profile4:surveyyear2006,-0.153078948608563,0.10498060119857383,-1.4581641451929748,0.14481033463510556,-0.013768622249755762,-0.21953060059896046,0.19199335609944895
profile2:surveyyear2010,-0.0089714997449294,0.07617776646108565,-0.11777058007486169,0.9062505730294463,-0.0011894189907176286,-0.15049784125444549,0.14811900327301025
profile3:surveyyear2010,-0.0920932060728011,0.08032641778843946,-1.1464871533964396,0.25160676902615103,-0.010769064430853261,-0.16820884329619462,0.1466707144344881
profile4:surveyyear2010,-0.1269317772395745,0.10283305894724061,-1.2343479668799695,0.21708715159536693,-0.011905557182282632,-0.21345835271887423,0.18964723835430894
profile2:surveyyear2014,-0.046410856349220556,0.10357108694585312,-0.44810629798144447,0.6540811292611367,-0.0035976212826544355,-0.20659695169652653,0.19940170913121769
profile3:surveyyear2014,-0.058706763939377626,0.09619670578131313,-0.610278319434737,0.5416840937117835,-0.005059964561417291,-0.19360550789279105,0.18348557876995644
profile4:surveyyear2014,-0.2865038314955892,0.13005100229877084,-2.2030113296427634,0.02760482496916088,-0.017935232584246976,-0.2728351970898378,0.23696473192134385
profile2:surveyyear2018,-0.23876462316708155,0.1190975949134487,-2.0047812329090102,0.04499931683436107,-0.01521660705887613,-0.24864789308923557,0.21821467897148333
profile3:surveyyear2018,-0.17466762385628443,0.10052287768656612,-1.7375907641731492,0.08229768277670176,-0.014011862498324083,-0.2110367027639937,0.18301297776734551
profile4:surveyyear2018,-0.36235980824265746,0.1505384170825815,-2.407091925537361,0.016088738661508305,-0.018420362824599648,-0.3134756603064594,0.27663493465726013
