term,estimate,std.error,statistic,p.value,std_estimate,std_conf.low,std_conf.high
(Intercept),-0.46161090572591373,0.022926833088261933,-20.134089341900825,2.572332694259378e-89,-0.46161090572591373,-0.5065474985789071,-0.41667431287292034
profile2,-0.05613646852731653,0.09158438645712311,-0.612948022025543,0.539917329654225,-0.01342087071490815,-0.19292626817086944,0.16608452674105312
profile3,0.010421101928929182,0.09153769501383666,0.11384492396661232,0.9093618114068052,0.0024469347820044157,-0.17696694744511543,0.18186081700912426
profile4,0.02012820129693501,0.12805908833139906,0.15717901446280824,0.8751052739522097,0.0035503136526819673,-0.2474454994768602,0.25454612678222416
age,0.09981738957097784,0.007089942607887846,14.07873026502739,8.197599070061185e-45,0.10003457512984043,0.08613828761838026,0.1139308626413006
sex,0.26729304271334703,0.014409859573268456,18.54931627572547,3.3452181539288e-76,0.1340783680051671,0.10583504324156093,0.16232169276877326
fas,-0.011184472769231405,0.0067044574239344575,-1.6682144522692615,0.09528803317431259,-0.011180921698970597,-0.024321658249882132,0.0019598148519409404
profile2:sex,0.33201593586477984,0.05618204578929228,5.909644819805737,3.481270913384486e-9,0.12968363832476343,0.019566828577750564,0.2398004480717763
profile3:sex,0.20702276786271231,0.05699662224991416,3.6321936228953304,2.8168945404222293e-4,0.07832511250392359,-0.03338826710590817,0.19003849211375534
profile4:sex,0.18840346253085097,0.07691709903027476,2.4494353649075467,0.014316128022098773,0.05541094548577947,-0.09534656861355906,0.20616845958511798
