term,estimate,std.error,statistic,p.value,std_estimate,std_conf.low,std_conf.high
(Intercept),0.35047265564136376,0.023200031995411922,15.106559150895732,2.734018236011692e-51,0.35047265564136376,0.3050005929303564,0.3959447183523711
profile2,-0.09991324086786875,0.09253045994659095,-1.0797875740111869,0.2802492337132164,-0.023844376174229406,-0.20520407766954768,0.15751532532108886
profile3,-0.03494241933863407,0.09294641998016778,-0.3759415300351517,0.7069641767418737,-0.008173609649314725,-0.19034859281044358,0.1740013735118141
profile4,-0.11080050917255342,0.128996290870049,-0.8589433729080937,0.3903815996693264,-0.01952579322865891,-0.27235852333395494,0.2333069368766371
age,-0.07702439276533846,0.007176564985950165,-10.732766012170453,8.387897532926021e-27,-0.07696435134259558,-0.0910304187150579,-0.06289828397013325
sex,-0.19544289744487206,0.014576519306154627,-13.408063567161086,7.996841225580551e-41,-0.09778595608183352,-0.1263559339218966,-0.06921597824177045
fas,0.09098961723205012,0.006798109201319884,13.38454775254038,1.0947529039911017e-40,0.09050149151923106,0.07717719748464409,0.10382578555381804
profile2:sex,-0.22801814487166402,0.05677357848632738,-4.016272198282816,5.9332379588967965e-5,-0.08887748797600023,-0.2001537018092019,0.02239872585720143
profile3:sex,-0.1486705700025164,0.0577421592558294,-2.5747317370627645,0.010038594428661608,-0.05616234092753127,-0.1693369730689569,0.057012291213894346
profile4:sex,-0.1673075312184095,0.0775931994971549,-2.156213847381614,0.03107833202031254,-0.04909009814807092,-0.20117276916249452,0.10299257286635269
