term,estimate,std.error,statistic,p.value,std_estimate,std_conf.low,std_conf.high
(Intercept),0.23454299804941553,0.022978485950945024,10.207069279939638,2.103281044505017e-24,0.23454299804941553,0.1895051655855633,0.27958083051326776
profile2,0.18359780202059525,0.09177617559699369,2.000495235569713,0.04545972186981368,0.04372818076497471,-0.13615312340513294,0.22360948493508234
profile3,-0.03428663627085988,0.09184971887732052,-0.3732905956593615,0.7089359596972923,-0.00802796333291675,-0.18805341233246498,0.17199748566663148
profile4,-0.04693886828878419,0.12754951246666987,-0.36800507803626337,0.7128731733275041,-0.00829180426389882,-0.25828884869857177,0.2417052401707741
age,-0.17727777419322768,0.007103896511951994,-24.95500517145282,1.8047309206186337e-135,-0.1773370224074476,-0.1912606595708735,-0.16341338524402169
sex,-0.1262670097549564,0.01443808424999,-8.745413004155578,2.386924644891678e-18,-0.06321799437999448,-0.09151663950997488,-0.03491934925001408
fas,0.09220842187944114,0.00674350375757517,13.673666567748375,2.2198270448177692e-42,0.09165467682696017,0.07843740946211283,0.10487194419180751
profile2:sex,-0.3174989125033812,0.05637544770491032,-5.631865030416901,1.8056158664044426e-8,-0.1233628576779322,-0.2338587351795564,-0.012866980176307982
profile3:sex,-0.16159011146084884,0.057169927338440625,-2.826487962880388,0.00471061659033403,-0.06098614960803608,-0.17303920719137972,0.05106690797530754
profile4:sex,-0.15123312647221912,0.0767315551312583,-1.9709378522762528,0.048744154324411496,-0.04447497703469309,-0.19486882509195935,0.10591887102257319
