term,estimate,std.error,statistic,p.value,std_estimate,std_conf.low,std_conf.high
(Intercept),-0.5251705845969555,0.05380079482903504,-9.761390817102448,2.8763240389284374e-22,-0.5251705845969555,-0.6306201424618643,-0.41972102673204686
profile1,0.35765113775905333,0.2109558200367034,1.695384074716815,0.09007849478918412,0.07909381911346916,-0.33437958815846947,0.49256722638540784
profile3,0.4755417372220402,0.12938006993520046,3.675540888640836,2.4038153591809762e-4,0.17378987215283803,-0.07979506492015487,0.42737480922583093
profile4,0.3679269470115053,0.18114162578304072,2.031156259203412,0.042303514616777935,0.09648804171094869,-0.2585495448238111,0.4515256282457085
age,0.10186075394024478,0.015241279253231425,6.683215512808642,2.6517245520234985e-11,0.10346082987016281,0.07358792253382922,0.1333337372064964
sex,0.23319451196053936,0.03432500982581811,6.793720180820992,1.2500286848121689e-11,0.11736745131305404,0.050090432054450545,0.18464447057165753
fas,-0.014545189914891114,0.014600456305557978,-0.9962147490797376,0.31920459018010505,-0.014635038082845128,-0.043251932441738764,0.01398185627604851
profile1:sex,0.19942424943792136,0.1334646097315684,1.4942107112815504,0.13519748891770625,0.06961814291906328,-0.19197249215481077,0.3312087779929373
profile3:sex,0.12353218001993664,0.08123220838388152,1.5207290615091598,0.1284049356784913,0.07282704602853095,-0.08638808240387684,0.23204217446093872
profile4:sex,0.08598214206872522,0.1129137403209719,0.7614851994479137,0.44641110164996944,0.036250019540936734,-0.1850609114881682,0.2575609505700417
