term,estimate,std.error,statistic,p.value,std_estimate,std_conf.low,std_conf.high
(Intercept),0.12256155397372565,0.054792878031799525,2.236815410619533,0.025352315060498277,0.12256155397372565,0.015167513031398586,0.22995559491605272
profile1,0.20394562322513934,0.21602019896044586,0.9441044134140557,0.34517229290100104,0.044844968369147344,-0.37855462159332653,0.46824455833162126
profile3,-0.3079320788507005,0.13164176685975232,-2.339167015121905,0.019374881255174444,-0.11246859091497038,-0.37048645396008495,0.14554927213014415
profile4,0.24012801595733732,0.18472792840121413,1.2999009843048674,0.19370846669514516,0.06274826590518842,-0.29931847376119125,0.42481500557156815
age,-0.13907084447897886,0.01551111620490957,-8.96588244467927,4.597509486144772e-19,-0.14114237124253845,-0.1715441590041612,-0.1107405834809157
sex,0.008654464136090704,0.03498722329674639,0.2473607025824058,0.8046415518497665,0.004346482790437557,-0.06422847487118535,0.07292144045206048
fas,0.09084705372673739,0.014865764408526038,6.1111592535822385,1.0818178175174537e-9,0.09134013876037764,0.06220324051966661,0.12047703700108867
profile1:sex,-0.4915799156424418,0.13649940352504839,-3.601333800350521,3.203643581515926e-4,-0.17086463457538673,-0.4384034654844815,0.09667419633370808
profile3:sex,-0.07334746645473715,0.08266359576050061,-0.8873007008701281,0.3749694184881356,-0.043218511137065464,-0.20523915882764665,0.11880213655351574
profile4:sex,-0.5149314274658222,0.11523674481773973,-4.468465577366368,8.092207584819092e-6,-0.2161337900810412,-0.44199780992381105,0.00973022976172866
