term,estimate,std.error,statistic,p.value,std_estimate,std_conf.low,std_conf.high
(Intercept),-0.42124715265906193,0.048125907357677654,-8.753022556609714,2.9357416120474783e-18,-0.42124715265906193,-0.5155739310801102,-0.32692037423801373
profile1,0.13137974250592535,0.402207032721834,0.32664705442081976,0.7439507438085609,0.016252205417635675,-0.7720735787171589,0.8045779895524303
profile2,-1.270071739411669,0.3966841489227696,-3.2017204187781627,0.0013760450578873598,-0.1425506541378006,-0.9200515860264289,0.6349502777508278
profile4,-0.1367925968482306,0.38344625666247506,-0.3567451617310767,0.721300093261716,-0.016026643609405967,-0.7675813066678571,0.7355280194490451
age,0.10634068336180776,0.015148799046038736,7.019743481884447,2.5714458454984677e-12,0.10637988205811486,0.07668823592787893,0.13607152818835078
sex,0.26327227331731046,0.030282392211664715,8.693906065185251,4.9046629728415006e-18,0.13163879638966433,0.07228530765480148,0.19099228512452718
fas,-0.023438680218458838,0.014815237191976324,-1.582065809324526,0.11370807495301179,-0.023453676518516934,-0.052491541414790524,0.00558418837775666
profile1:sex,0.3415445645619514,0.2426297070924958,1.4076782627106215,0.15929862884623325,0.0700658234041768,-0.40548840249711493,0.5456200493054686
profile2:sex,1.3060193391548853,0.28098976363765577,4.647924971526843,3.453291605997628e-6,0.20650662844717957,-0.34423330828262566,0.7572465651769849
profile4:sex,0.5138672056600069,0.2579197867203302,1.9923527860900712,0.04639547021498911,0.08936682367779317,-0.41615595829405405,0.5948896056496403
