term,estimate,std.error,statistic,p.value,std_estimate,std_conf.low,std_conf.high
(Intercept),0.32097180936057357,0.048325770566336544,6.641835310623287,3.4843091711408227e-11,0.32097180936057357,0.22625329905055394,0.4156903196705932
profile1,0.2785124553944267,0.4100880461663877,0.679152825833465,0.49707761278704343,0.03421576681340845,-0.7695568036727115,0.8379883372995284
profile2,-0.3208046189244609,0.3983037947783519,-0.8054269708953745,0.4206178984834703,-0.036024182710263405,-0.8166996204758332,0.7446512550553064
profile4,0.328981450032531,0.3872451428705293,0.8495431281433062,0.39562647081200597,0.038244168388599085,-0.7207563116376383,0.7972446484148366
age,-0.05630107351905795,0.015215395067313134,-3.7002702374786303,2.1806561513741546e-4,-0.05632918181550608,-0.08615135614743982,-0.026507007483572338
sex,-0.19982185666100105,0.03041307423641283,-6.570261694286704,5.621581780289347e-11,-0.09991657935647372,-0.15952620485984287,-0.04030695385310457
fas,0.141357668106736,0.01490930891774344,9.481168368475313,4.0392456301432246e-21,0.14120704102990272,0.11198479555112559,0.17042928650867986
profile1:sex,-0.36488949457774816,0.2461904868456728,-1.4821429505782777,0.13837559129231708,-0.07469491087975509,-0.5572282650972737,0.4078384433377636
profile2:sex,-0.2397958155531425,0.2821348929922968,-0.8499332110604614,0.395409572501224,-0.037934891268385486,-0.5909192815332872,0.5150494989965163
profile4:sex,-0.6093540927613323,0.26227532117158936,-2.3233375143316377,0.020207466956050368,-0.10441741505081732,-0.6184770445471325,0.4096422144454978
