term,estimate,std.error,statistic,p.value,std_estimate,std_conf.low,std_conf.high
(Intercept),0.531679630076285,0.024178168119778333,21.990070854100733,4.8438511899310535e-106,0.531679630076285,0.4842904205615195,0.5790688395910506
profile1,-0.3646003109066715,0.0744910740231047,-4.8945503295278625,9.92211137078462e-7,-0.05266881383762494,-0.19867131892291018,0.09333369124766028
profile2,-0.25902015454633703,0.054614786148109225,-4.7426745175547005,2.122236058362049e-6,-0.05082960403389652,-0.1578745848841906,0.056215376816397565
profile4,-0.7697564121894664,0.048621304220268134,-15.831669358400058,3.815897072900621e-56,-0.15849951418797964,-0.2537972704597052,-0.0632017579162541
surveyyear2006,-0.10569960208955698,0.021197883388598737,-4.986328123043049,6.200085832774706e-7,-0.04108980624601748,-0.082637657687671,4.5804519563604623e-4
surveyyear2010,-0.3000233495824613,0.02170162758068488,-13.824923889556162,2.7246725596974388e-43,-0.11362200488715861,-0.15615719494530098,-0.07108681482901624
surveyyear2014,-0.1638289814215205,0.021330369433084844,-7.680550584717519,1.649359670966314e-14,-0.0639203295432123,-0.10572785363205861,-0.02211280545436601
surveyyear2018,-0.34434535067778455,0.021282446668528476,-16.179782148214517,1.5139446223421492e-58,-0.13638831650886982,-0.17810191197918562,-0.09467472103855401
age,-0.100525593782193,0.006727458561163318,-14.942580897118159,3.0543202605158266e-50,-0.10139243342519846,-0.11457825220507857,-0.08820661464531836
sex,-0.2072315715935768,0.01293228365421464,-16.02436020849573,1.8136739114883466e-57,-0.10386605066379215,-0.12921332662605284,-0.07851877470153146
fas,0.10161302699031766,0.006903586271772497,14.718875522102877,8.281060143386425e-49,0.10163726623992089,0.0881062371472468,0.11516829533259498
profile1:surveyyear2006,-0.0777795508782243,0.11671809461981243,-0.6663881134418513,0.5051699758493446,-0.005663356627962237,-0.23443082208279462,0.22310410882687012
profile2:surveyyear2006,-0.1360390201476209,0.0910917988388183,-1.493427749608218,0.1353394505820785,-0.01228394060720572,-0.1908238663312896,0.16625598511687814
profile4:surveyyear2006,0.037185074335007645,0.08317921012827138,0.44704769710681574,0.6548449784795265,0.003621426301234917,-0.159409825550177,0.1666526781526468
profile1:surveyyear2010,-0.1221436183811611,0.1358856727565483,-0.898870468853568,0.36873139832068236,-0.007002301950928553,-0.2733382205537632,0.25933361665190613
profile2:surveyyear2010,-0.11181460788948895,0.09399949629400424,-1.1895234793574212,0.23424644597369398,-0.009617147579085748,-0.19385616031533404,0.17462186515716255
profile4:surveyyear2010,0.2774833540548437,0.0930019315511593,2.983630010976743,0.0028516045879993547,0.022913545717787094,-0.15937024012248513,0.2051973315580593
profile1:surveyyear2014,0.017249943467088257,0.13707196384075562,0.12584589133871685,0.8998550528917992,9.753153493151103e-4,-0.2676857337785659,0.26963636447719613
profile2:surveyyear2014,0.02112052918241339,0.10443766633798993,0.20223095673223263,0.8397380242907001,0.001550755274005067,-0.2031470707484552,0.2062485812964653
profile4:surveyyear2014,0.09362187308171187,0.09852430852947659,0.9502413615387312,0.34199996032969937,0.007125768094093243,-0.18598187662368088,0.20023341281186735
profile1:surveyyear2018,-0.09088755225960336,0.17531656026732198,-0.5184196639554095,0.6041706593823968,-0.0037124974655610666,-0.34733295558951216,0.33990796065839
profile2:surveyyear2018,0.005806545020391347,0.11704180999536848,0.04961086145729565,0.9604329369463704,3.653598389168896e-4,-0.22903658775200533,0.2297673074298391
profile4:surveyyear2018,0.18487765008166923,0.14247758164313318,1.2975911574968788,0.19444133116100817,0.00894953084899313,-0.2703065291715479,0.2882055908695342
